,payment_id,customer_id,staff_id,rental_id,amount,payment_date
0,17503,341,2,1520,7.99,2007-02-15 22:25:46.996577
1,17504,341,1,1778,1.99,2007-02-16 17:23:14.996577
2,17505,341,1,1849,7.99,2007-02-16 22:41:45.996577
3,17506,341,2,2829,2.99,2007-02-19 19:39:56.996577
4,17507,341,2,3130,7.99,2007-02-20 17:31:48.996577
5,17508,341,1,3382,5.99,2007-02-21 12:33:49.996577
6,17509,342,2,2190,5.99,2007-02-17 23:58:17.996577
7,17510,342,1,2914,5.99,2007-02-20 02:11:44.996577
8,17511,342,1,3081,2.99,2007-02-20 13:57:39.996577
9,17512,343,2,1547,4.99,2007-02-16 00:10:50.996577
10,17513,343,1,1564,6.99,2007-02-16 01:15:33.996577
11,17514,343,2,1879,0.99,2007-02-17 01:26:00.996577
12,17515,343,2,1922,0.99,2007-02-17 04:32:51.996577
13,17516,343,2,2461,6.99,2007-02-18 18:26:38.996577
14,17517,343,1,2980,8.99,2007-02-20 07:03:29.996577
15,17518,343,1,3407,0.99,2007-02-21 14:42:28.996577
16,17519,344,1,1341,3.99,2007-02-15 10:54:44.996577
17,17520,344,2,1475,4.99,2007-02-15 19:36:27.996577
18,17521,344,1,1731,0.99,2007-02-16 14:00:38.996577
19,17522,345,2,1210,0.99,2007-02-15 01:26:17.996577
20,17523,345,1,1457,4.99,2007-02-15 18:34:15.996577
21,17524,345,2,1550,0.99,2007-02-16 00:27:01.996577
22,17525,345,2,2766,4.99,2007-02-19 16:13:41.996577
23,17526,346,1,1994,5.99,2007-02-17 09:35:32.996577
24,17527,346,2,3372,2.99,2007-02-21 12:02:45.996577
25,17528,346,1,3421,2.99,2007-02-21 15:51:24.996577
26,17529,347,2,1711,8.99,2007-02-16 12:40:18.996577
27,17530,347,2,2274,0.99,2007-02-18 04:59:41.996577
28,17531,347,1,3026,4.99,2007-02-20 10:16:26.996577
29,17532,347,1,3092,8.99,2007-02-20 14:33:08.996577
30,17533,347,1,3326,7.99,2007-02-21 07:33:16.996577
31,17534,348,1,1654,2.99,2007-02-16 08:11:14.996577
32,17535,348,1,2041,8.99,2007-02-17 12:47:26.996577
33,17536,348,2,2499,0.99,2007-02-18 21:30:02.996577
34,17537,349,1,1197,2.99,2007-02-15 00:11:12.996577
35,17538,349,1,1523,0.99,2007-02-15 22:47:06.996577
36,17539,349,2,2987,6.99,2007-02-20 07:24:16.996577
37,17540,349,1,3067,8.99,2007-02-20 12:27:47.996577
38,17541,350,2,2011,3.99,2007-02-17 10:24:35.996577
39,17542,350,1,2619,0.99,2007-02-19 06:31:38.996577
40,17543,350,1,3079,2.99,2007-02-20 13:42:06.996577
41,17544,350,2,3206,0.99,2007-02-20 23:08:05.996577
42,17545,351,2,1792,5.99,2007-02-16 18:33:16.996577
43,17546,351,1,1869,0.99,2007-02-17 00:36:26.996577
44,17547,351,1,2759,2.99,2007-02-19 15:38:50.996577
45,17548,352,1,1498,0.99,2007-02-15 20:26:26.996577
46,17549,352,1,1649,4.99,2007-02-16 07:48:59.996577
47,17550,352,1,1678,4.99,2007-02-16 09:36:54.996577
